date,url,marketing_segment,page_visits,unique_visitors,return_visitors,bounce_rate,avg_session_duration,conversion_rate,conversions
2024-01-05,https://example.com/product-page,Organic Search,381,259,81,0.462,4.93,0.0148,4
2024-01-05,https://example.com/product-page,Paid Search,215,132,10,0.328,3.63,0.0305,4
2024-01-05,https://example.com/product-page,Referral,67,52,6,0.426,3.89,0.0174,1
2024-01-05,https://example.com/product-page,Social Media,157,123,32,0.693,1.55,0.0203,2
2024-01-05,https://example.com/product-page,Video Ads,27,20,0,0.493,7.89,0.0155,0
2024-01-06,https://example.com/product-page,Direct Traffic,82,65,38,0.302,4.8,0.033,2
2024-01-06,https://example.com/product-page,Display Ads,21,12,0,0.653,1.77,0.0098,0
2024-01-06,https://example.com/product-page,Email Marketing,52,36,10,0.228,4.91,0.0481,2
2024-01-06,https://example.com/product-page,Organic Search,254,173,31,0.425,3.39,0.021,4
2024-01-06,https://example.com/product-page,Paid Search,122,81,11,0.297,2.74,0.049,4
2024-01-06,https://example.com/product-page,Referral,33,20,3,0.518,2.52,0.0237,0
2024-01-06,https://example.com/product-page,Social Media,100,70,16,0.667,1.92,0.0168,1
2024-01-06,https://example.com/product-page,Video Ads,16,10,0,0.438,7.53,0.0134,0
2024-01-07,https://example.com/product-page,Direct Traffic,77,59,19,0.323,3.25,0.0414,2
2024-01-07,https://example.com/product-page,Display Ads,20,14,0,0.729,1.19,0.0071,0
2024-01-07,https://example.com/product-page,Email Marketing,54,32,12,0.218,4.03,0.0616,2
2024-01-07,https://example.com/product-page,Organic Search,242,177,55,0.364,3.58,0.0166,3
2024-01-07,https://example.com/product-page,Paid Search,138,102,8,0.337,3.63,0.0554,6
2024-01-07,https://example.com/product-page,Referral,41,24,3,0.486,2.57,0.0168,0
2024-01-07,https://example.com/product-page,Social Media,122,88,18,0.633,1.65,0.0094,1
2024-01-07,https://example.com/product-page,Video Ads,16,10,0,0.506,7.74,0.0132,0
2024-01-08,https://example.com/product-page,Direct Traffic,126,81,19,0.332,5.53,0.0307,2
2024-01-08,https://example.com/product-page,Display Ads,36,27,2,0.772,1.08,0.0105,0
2024-01-08,https://example.com/product-page,Email Marketing,96,74,29,0.262,5.99,0.0419,3
2024-01-08,https://example.com/product-page,Organic Search,310,207,31,0.446,4.15,0.0292,6
2024-01-08,https://example.com/product-page,Paid Search,243,188,14,0.327,3.25,0.0323,6
2024-01-08,https://example.com/product-page,Referral,48,32,5,0.519,3.19,0.0142,0
2024-01-08,https://example.com/product-page,Social Media,165,125,26,0.628,2.72,0.0133,2
2024-01-08,https://example.com/product-page,Video Ads,21,12,0,0.564,4.5,0.0133,0
2024-01-09,https://example.com/product-page,Direct Traffic,142,91,30,0.306,3.78,0.0405,4
2024-01-09,https://example.com/product-page,Display Ads,31,20,1,0.621,1.41,0.0086,0
2024-01-09,https://example.com/product-page,Email Marketing,96,70,33,0.254,5.04,0.067,5
2024-01-09,https://example.com/product-page,Organic Search,307,190,55,0.379,4.76,0.0298,6
2024-01-09,https://example.com/product-page,Paid Search,175,110,11,0.378,2.9,0.0573,6
2024-01-09,https://example.com/product-page,Referral,58,41,3,0.446,2.33,0.0124,1
2024-01-09,https://example.com/product-page,Social Media,176,128,18,0.681,1.98,0.0084,1
2024-01-09,https://example.com/product-page,Video Ads,25,16,1,0.536,5.89,0.0097,0
2024-01-10,https://example.com/product-page,Direct Traffic,156,99,57,0.322,5.76,0.0223,2
2024-01-10,https://example.com/product-page,Display Ads,43,34,3,0.621,1.59,0.0082,0
2024-01-10,https://example.com/product-page,Email Marketing,116,90,27,0.298,5.62,0.0459,4
2024-01-10,https://example.com/product-page,Organic Search,452,343,85,0.455,4.29,0.0269,9
2024-01-10,https://example.com/product-page,Paid Search,253,176,12,0.39,3.25,0.0498,9
2024-01-10,https://example.com/product-page,Referral,49,38,5,0.419,3.46,0.0294,1
2024-01-10,https://example.com/product-page,Social Media,200,131,13,0.609,1.77,0.0207,3
2024-01-10,https://example.com/product-page,Video Ads,22,14,0,0.427,7.59,0.0074,0
2024-01-11,https://example.com/product-page,Direct Traffic,118,88,42,0.305,5.13,0.0293,3
2024-01-11,https://example.com/product-page,Display Ads,30,21,1,0.601,1.72,0.006,0
2024-01-11,https://example.com/product-page,Email Marketing,74,49,13,0.255,6.75,0.0305,1
2024-01-11,https://example.com/product-page,Organic Search,307,241,72,0.424,4.49,0.0261,6
2024-01-11,https://example.com/product-page,Paid Search,176,109,12,0.335,3.35,0.0421,5
2024-01-11,https://example.com/product-page,Referral,48,36,7,0.45,4.07,0.0145,1
2024-01-11,https://example.com/product-page,Social Media,154,96,19,0.69,1.66,0.0182,2
2024-01-11,https://example.com/product-page,Video Ads,19,13,0,0.422,6.19,0.0148,0
2024-01-12,https://example.com/product-page,Direct Traffic,104,74,15,0.335,4.72,0.0182,1
2024-01-12,https://example.com/product-page,Display Ads,25,18,0,0.608,1.35,0.0072,0
2024-01-12,https://example.com/product-page,Email Marketing,62,47,14,0.204,6.26,0.0626,3
2024-01-12,https://example.com/product-page,Organic Search,372,289,60,0.35,4.4,0.0255,7
2024-01-12,https://example.com/product-page,Paid Search,180,111,11,0.387,3.17,0.0339,4
2024-01-12,https://example.com/product-page,Referral,40,28,5,0.433,4.15,0.0151,0
2024-01-12,https://example.com/product-page,Social Media,116,80,16,0.689,1.8,0.0112,1
2024-01-12,https://example.com/product-page,Video Ads,15,10,0,0.505,7.08,0.0072,0
2024-01-13,https://example.com/product-page,Direct Traffic,129,95,34,0.243,4.64,0.0461,4
2024-01-13,https://example.com/product-page,Display Ads,25,19,1,0.761,1.33,0.0047,0
2024-01-13,https://example.com/product-page,Email Marketing,66,41,10,0.211,4.14,0.0357,1
2024-01-13,https://example.com/product-page,Organic Search,395,277,56,0.446,4.7,0.0136,4
2024-01-13,https://example.com/product-page,Paid Search,212,138,12,0.304,2.96,0.0513,7
2024-01-13,https://example.com/product-page,Referral,48,35,6,0.422,3.82,0.0108,0
2024-01-13,https://example.com/product-page,Social Media,118,71,20,0.663,2.16,0.0121,1
2024-01-13,https://example.com/product-page,Video Ads,19,13,0,0.591,5.16,0.0129,0
2024-01-14,https://example.com/product-page,Direct Traffic,103,63,24,0.285,4.06,0.0318,2
2024-01-14,https://example.com/product-page,Display Ads,21,14,1,0.792,1.39,0.0063,0
2024-01-14,https://example.com/product-page,Email Marketing,69,43,14,0.219,6.68,0.0349,2
2024-01-14,https://example.com/product-page,Organic Search,275,184,57,0.449,2.67,0.0324,6
2024-01-14,https://example.com/product-page,Paid Search,140,87,4,0.372,3.62,0.059,5
2024-01-14,https://example.com/product-page,Referral,41,29,4,0.395,4.12,0.017,0
2024-01-14,https://example.com/product-page,Social Media,107,82,19,0.553,2.73,0.0081,1
2024-01-14,https://example.com/product-page,Video Ads,17,13,0,0.426,6.11,0.0064,0
2024-01-15,https://example.com/product-page,Direct Traffic,146,114,31,0.286,5.75,0.0441,5
2024-01-15,https://example.com/product-page,Display Ads,28,21,0,0.617,1.41,0.0084,0
2024-01-15,https://example.com/product-page,Email Marketing,68,42,7,0.264,3.72,0.0578,2
2024-01-15,https://example.com/product-page,Organic Search,373,293,78,0.479,3.17,0.0299,9
2024-01-15,https://example.com/product-page,Paid Search,197,143,13,0.282,3.55,0.0563,8
2024-01-15,https://example.com/product-page,Referral,43,31,2,0.457,2.27,0.0277,1
2024-01-15,https://example.com/product-page,Social Media,157,123,21,0.618,2.16,0.0193,2
2024-01-15,https://example.com/product-page,Video Ads,23,15,0,0.583,4.62,0.0117,0
2024-01-16,https://example.com/product-page,Direct Traffic,157,107,37,0.301,3.92,0.0283,3
2024-01-16,https://example.com/product-page,Display Ads,36,22,2,0.712,1.13,0.0081,0
2024-01-16,https://example.com/product-page,Email Marketing,97,64,32,0.247,6.32,0.0451,3
2024-01-16,https://example.com/product-page,Organic Search,413,299,102,0.363,4.01,0.0278,8
2024-01-16,https://example.com/product-page,Paid Search,239,181,14,0.288,3.48,0.0274,5
2024-01-16,https://example.com/product-page,Referral,62,42,7,0.434,3.56,0.0231,1
2024-01-16,https://example.com/product-page,Social Media,142,106,27,0.493,2.69,0.0143,2
2024-01-16,https://example.com/product-page,Video Ads,21,16,0,0.51,6.24,0.0134,0
2024-01-17,https://example.com/product-page,Direct Traffic,113,75,35,0.277,4.87,0.0259,2
2024-01-17,https://example.com/product-page,Display Ads,31,21,2,0.709,1.57,0.0075,0
2024-01-17,https://example.com/product-page,Email Marketing,91,69,31,0.213,5.15,0.032,2
2024-01-17,https://example.com/product-page,Organic Search,291,227,33,0.469,4.59,0.0344,8
2024-01-17,https://example.com/product-page,Paid Search,191,150,21,0.405,3.04,0.0395,6
2024-01-17,https://example.com/product-page,Referral,43,30,2,0.394,3.78,0.0145,0
2024-01-17,https://example.com/product-page,Social Media,159,115,21,0.562,2.46,0.0081,1
2024-01-17,https://example.com/product-page,Video Ads,19,11,0,0.523,5.05,0.0141,0
2024-01-18,https://example.com/product-page,Direct Traffic,127,101,35,0.251,4.91,0.025,3
2024-01-18,https://example.com/product-page,Display Ads,31,23,1,0.659,1.23,0.0119,0
2024-01-18,https://example.com/product-page,Email Marketing,96,73,36,0.225,5.46,0.0465,3
2024-01-18,https://example.com/product-page,Organic Search,493,356,53,0.466,4.2,0.0197,7
2024-01-18,https://example.com/product-page,Paid Search,212,156,8,0.399,3.64,0.0463,7
2024-01-18,https://example.com/product-page,Referral,76,57,7,0.464,2.3,0.0155,1
2024-01-18,https://example.com/product-page,Social Media,216,160,18,0.605,1.58,0.0198,3
2024-01-18,https://example.com/product-page,Video Ads,24,18,0,0.586,4.63,0.0097,0
2024-01-19,https://example.com/product-page,Direct Traffic,113,87,25,0.352,4.23,0.0521,5
2024-01-19,https://example.com/product-page,Display Ads,36,22,1,0.831,1.79,0.0088,0
2024-01-19,https://example.com/product-page,Email Marketing,97,58,29,0.213,6.27,0.0605,4
2024-01-19,https://example.com/product-page,Organic Search,355,216,33,0.346,4.34,0.0143,3
2024-01-19,https://example.com/product-page,Paid Search,174,126,15,0.375,3.47,0.0339,4
2024-01-19,https://example.com/product-page,Referral,42,32,4,0.457,2.86,0.0247,1
2024-01-19,https://example.com/product-page,Social Media,159,125,21,0.484,1.58,0.0173,2
2024-01-19,https://example.com/product-page,Video Ads,24,16,0,0.412,4.56,0.0083,0
2024-01-20,https://example.com/product-page,Direct Traffic,90,65,20,0.347,5.45,0.03,2
2024-01-20,https://example.com/product-page,Display Ads,27,19,1,0.803,1.71,0.0061,0
2024-01-20,https://example.com/product-page,Email Marketing,53,36,10,0.236,5.82,0.0501,2
2024-01-20,https://example.com/product-page,Organic Search,290,200,56,0.463,3.43,0.0211,4
2024-01-20,https://example.com/product-page,Paid Search,159,124,6,0.363,2.6,0.0324,4
2024-01-20,https://example.com/product-page,Referral,39,24,5,0.505,4.08,0.0141,0
2024-01-20,https://example.com/product-page,Social Media,105,82,22,0.583,1.55,0.0136,1
2024-01-20,https://example.com/product-page,Video Ads,14,10,0,0.423,7.22,0.0083,0
2024-01-21,https://example.com/product-page,Direct Traffic,110,74,43,0.292,3.99,0.0512,4
2024-01-21,https://example.com/product-page,Display Ads,30,22,2,0.688,1.09,0.0052,0
2024-01-21,https://example.com/product-page,Email Marketing,80,61,20,0.255,5.96,0.0636,4
2024-01-21,https://example.com/product-page,Organic Search,300,235,80,0.337,3.41,0.0232,5
2024-01-21,https://example.com/product-page,Paid Search,145,87,7,0.419,3.17,0.0351,3
2024-01-21,https://example.com/product-page,Referral,42,27,2,0.404,3.6,0.0146,0
2024-01-21,https://example.com/product-page,Social Media,149,118,15,0.528,2.14,0.017,2
2024-01-21,https://example.com/product-page,Video Ads,21,14,0,0.505,7.23,0.0142,0
2024-01-22,https://example.com/product-page,Direct Traffic,180,120,29,0.304,4.72,0.0339,4
2024-01-22,https://example.com/product-page,Display Ads,44,34,2,0.683,1.31,0.0044,0
2024-01-22,https://example.com/product-page,Email Marketing,123,86,38,0.277,5.93,0.0638,5
2024-01-22,https://example.com/product-page,Organic Search,593,456,85,0.403,4.0,0.037,17
2024-01-22,https://example.com/product-page,Paid Search,282,176,25,0.365,1.98,0.0372,7
2024-01-22,https://example.com/product-page,Referral,72,55,8,0.49,3.97,0.0223,1
2024-01-22,https://example.com/product-page,Social Media,225,145,33,0.486,2.16,0.0143,2
2024-01-22,https://example.com/product-page,Video Ads,24,14,0,0.514,7.57,0.0099,0
2024-01-23,https://example.com/product-page,Direct Traffic,174,131,46,0.346,5.53,0.0202,3
2024-01-23,https://example.com/product-page,Display Ads,39,26,3,0.565,1.45,0.0076,0
2024-01-23,https://example.com/product-page,Email Marketing,121,93,47,0.241,5.22,0.0593,6
2024-01-23,https://example.com/product-page,Organic Search,448,281,36,0.468,3.61,0.0129,4
2024-01-23,https://example.com/product-page,Paid Search,272,195,17,0.329,2.72,0.0433,8
2024-01-23,https://example.com/product-page,Referral,62,48,7,0.443,3.96,0.0276,1
2024-01-23,https://example.com/product-page,Social Media,211,164,27,0.716,2.46,0.0108,2
2024-01-23,https://example.com/product-page,Video Ads,28,18,1,0.44,4.81,0.0082,0
2024-01-24,https://example.com/product-page,Direct Traffic,183,127,59,0.248,4.8,0.0445,6
2024-01-24,https://example.com/product-page,Display Ads,33,20,1,0.801,1.95,0.006,0
2024-01-24,https://example.com/product-page,Email Marketing,91,58,10,0.287,5.5,0.0311,2
2024-01-24,https://example.com/product-page,Organic Search,413,254,39,0.396,4.45,0.0219,6
2024-01-24,https://example.com/product-page,Paid Search,224,141,9,0.352,3.25,0.0357,5
2024-01-24,https://example.com/product-page,Referral,57,37,3,0.51,2.91,0.0275,1
2024-01-24,https://example.com/product-page,Social Media,208,132,22,0.657,1.94,0.0168,2
2024-01-24,https://example.com/product-page,Video Ads,23,15,0,0.453,7.03,0.0109,0
2024-01-25,https://example.com/product-page,Direct Traffic,115,73,25,0.242,4.5,0.0362,3
2024-01-25,https://example.com/product-page,Display Ads,29,21,2,0.694,1.56,0.0116,0
2024-01-25,https://example.com/product-page,Email Marketing,87,62,18,0.286,5.86,0.0276,2
2024-01-25,https://example.com/product-page,Organic Search,431,312,45,0.463,4.43,0.0177,6
2024-01-25,https://example.com/product-page,Paid Search,253,198,11,0.414,2.42,0.0585,12
2024-01-25,https://example.com/product-page,Referral,54,40,3,0.518,2.52,0.0291,1
2024-01-25,https://example.com/product-page,Social Media,150,114,28,0.619,1.84,0.0102,1
2024-01-25,https://example.com/product-page,Video Ads,22,15,0,0.489,6.23,0.0077,0
2024-01-26,https://example.com/product-page,Direct Traffic,115,89,38,0.333,4.07,0.0322,3
2024-01-26,https://example.com/product-page,Display Ads,37,25,1,0.767,1.56,0.0044,0
2024-01-26,https://example.com/product-page,Email Marketing,97,73,25,0.254,3.81,0.052,4
2024-01-26,https://example.com/product-page,Organic Search,390,275,51,0.334,3.82,0.0144,4
2024-01-26,https://example.com/product-page,Paid Search,206,139,7,0.41,2.58,0.0223,3
2024-01-26,https://example.com/product-page,Referral,47,33,5,0.442,3.27,0.0197,1
2024-01-26,https://example.com/product-page,Social Media,158,101,16,0.567,2.0,0.0219,2
2024-01-26,https://example.com/product-page,Video Ads,20,13,0,0.526,5.4,0.0111,0
2024-01-27,https://example.com/product-page,Direct Traffic,51,39,9,0.321,5.59,0.03,1
2024-01-27,https://example.com/product-page,Display Ads,16,12,0,0.619,1.22,0.012,0
2024-01-27,https://example.com/product-page,Email Marketing,39,26,13,0.284,5.77,0.0464,1
2024-01-27,https://example.com/product-page,Organic Search,204,147,27,0.366,4.77,0.0219,3
2024-01-27,https://example.com/product-page,Paid Search,82,51,3,0.306,2.86,0.0354,2
2024-01-27,https://example.com/product-page,Referral,20,13,2,0.433,3.92,0.0139,0
2024-01-27,https://example.com/product-page,Social Media,63,40,6,0.655,1.63,0.0152,1
2024-01-27,https://example.com/product-page,Video Ads,8,5,0,0.593,6.18,0.0113,0
2024-01-28,https://example.com/product-page,Direct Traffic,96,69,21,0.337,4.38,0.027,2
2024-01-28,https://example.com/product-page,Display Ads,24,14,1,0.823,1.06,0.0053,0
2024-01-28,https://example.com/product-page,Email Marketing,78,49,16,0.214,5.02,0.0365,2
2024-01-28,https://example.com/product-page,Organic Search,338,241,46,0.331,3.5,0.0252,6
2024-01-28,https://example.com/product-page,Paid Search,209,133,10,0.358,3.09,0.0223,3
2024-01-28,https://example.com/product-page,Referral,47,28,3,0.412,4.04,0.0131,0
2024-01-28,https://example.com/product-page,Social Media,137,96,14,0.679,1.58,0.0217,2
2024-01-28,https://example.com/product-page,Video Ads,17,12,0,0.534,5.56,0.0125,0
2024-01-29,https://example.com/product-page,Direct Traffic,196,124,28,0.356,4.35,0.0197,2
2024-01-29,https://example.com/product-page,Display Ads,36,22,2,0.631,1.46,0.0095,0
2024-01-29,https://example.com/product-page,Email Marketing,122,87,40,0.249,6.06,0.0253,2
2024-01-29,https://example.com/product-page,Organic Search,507,352,80,0.4,3.67,0.031,11
2024-01-29,https://example.com/product-page,Paid Search,262,205,27,0.313,2.01,0.05,10
2024-01-29,https://example.com/product-page,Referral,59,44,4,0.466,3.6,0.023,1
2024-01-29,https://example.com/product-page,Social Media,248,154,37,0.586,2.58,0.0185,3
2024-01-29,https://example.com/product-page,Video Ads,29,20,0,0.489,6.25,0.0071,0
2024-01-30,https://example.com/product-page,Direct Traffic,141,109,38,0.284,4.72,0.0429,5
2024-01-30,https://example.com/product-page,Display Ads,37,23,2,0.565,1.2,0.0051,0
2024-01-30,https://example.com/product-page,Email Marketing,107,83,32,0.252,4.33,0.0378,3
2024-01-30,https://example.com/product-page,Organic Search,533,361,118,0.374,3.2,0.0361,13
2024-01-30,https://example.com/product-page,Paid Search,258,174,16,0.28,2.68,0.0401,7
2024-01-30,https://example.com/product-page,Referral,56,44,7,0.415,4.02,0.0293,1
2024-01-30,https://example.com/product-page,Social Media,182,136,27,0.547,2.13,0.0088,1
2024-01-30,https://example.com/product-page,Video Ads,27,19,1,0.479,5.05,0.0117,0
2024-01-31,https://example.com/product-page,Direct Traffic,105,80,20,0.256,3.87,0.0197,2
2024-01-31,https://example.com/product-page,Display Ads,32,23,1,0.702,1.4,0.009,0
2024-01-31,https://example.com/product-page,Email Marketing,79,59,13,0.269,5.58,0.026,2
2024-01-31,https://example.com/product-page,Organic Search,336,218,67,0.421,3.66,0.0169,4
2024-01-31,https://example.com/product-page,Paid Search,169,120,15,0.393,2.62,0.0304,4
2024-01-31,https://example.com/product-page,Referral,46,34,6,0.441,3.32,0.025,1
2024-01-31,https://example.com/product-page,Social Media,179,119,31,0.605,1.77,0.01,1
2024-01-31,https://example.com/product-page,Video Ads,18,12,0,0.562,4.63,0.0162,0
2024-02-01,https://example.com/product-page,Direct Traffic,121,93,53,0.291,3.22,0.0221,2
2024-02-01,https://example.com/product-page,Display Ads,39,26,2,0.756,1.28,0.0043,0
2024-02-01,https://example.com/product-page,Email Marketing,102,75,37,0.243,3.93,0.0403,3
2024-02-01,https://example.com/product-page,Organic Search,508,364,81,0.387,3.43,0.037,13
2024-02-01,https://example.com/product-page,Paid Search,246,194,12,0.386,3.26,0.0244,5
2024-02-01,https://example.com/product-page,Referral,67,42,6,0.391,3.62,0.012,1
2024-02-01,https://example.com/product-page,Social Media,193,135,30,0.561,2.24,0.0188,3
2024-02-01,https://example.com/product-page,Video Ads,29,22,1,0.445,7.51,0.0097,0
2024-02-02,https://example.com/product-page,Direct Traffic,197,131,64,0.283,3.91,0.0426,6
2024-02-02,https://example.com/product-page,Display Ads,50,39,2,0.625,1.85,0.0056,0
2024-02-02,https://example.com/product-page,Email Marketing,137,88,29,0.258,4.89,0.0432,4
2024-02-02,https://example.com/product-page,Organic Search,588,359,74,0.448,3.57,0.0191,7
2024-02-02,https://example.com/product-page,Paid Search,392,235,19,0.39,2.64,0.0381,9
2024-02-02,https://example.com/product-page,Referral,74,47,7,0.426,2.43,0.0254,1
2024-02-02,https://example.com/product-page,Social Media,251,177,50,0.717,2.7,0.0189,3
2024-02-02,https://example.com/product-page,Video Ads,36,26,0,0.519,4.86,0.0122,0
2024-02-03,https://example.com/product-page,Direct Traffic,89,66,18,0.288,4.07,0.05,3
2024-02-03,https://example.com/product-page,Display Ads,22,16,1,0.794,1.34,0.0061,0
2024-02-03,https://example.com/product-page,Email Marketing,83,53,12,0.273,3.87,0.0333,2
2024-02-03,https://example.com/product-page,Organic Search,335,212,77,0.44,3.01,0.0278,6
2024-02-03,https://example.com/product-page,Paid Search,154,105,6,0.307,2.04,0.0449,5
2024-02-03,https://example.com/product-page,Referral,36,24,3,0.444,2.8,0.0109,0
2024-02-03,https://example.com/product-page,Social Media,162,113,24,0.687,2.56,0.0166,2
2024-02-03,https://example.com/product-page,Video Ads,18,12,0,0.501,5.6,0.0105,0
2024-02-04,https://example.com/product-page,Direct Traffic,81,59,12,0.322,3.48,0.0437,3
2024-02-04,https://example.com/product-page,Display Ads,16,11,0,0.725,1.63,0.0105,0
2024-02-04,https://example.com/product-page,Email Marketing,44,28,11,0.284,6.75,0.0473,1
2024-02-04,https://example.com/product-page,Organic Search,191,147,53,0.366,3.19,0.0125,2
2024-02-04,https://example.com/product-page,Paid Search,118,77,8,0.361,2.43,0.0455,4
2024-02-04,https://example.com/product-page,Referral,25,15,2,0.382,4.11,0.025,0
2024-02-04,https://example.com/product-page,Social Media,90,54,7,0.646,1.7,0.0112,1
2024-02-04,https://example.com/product-page,Video Ads,10,6,0,0.546,6.24,0.0116,0
2024-02-05,https://example.com/product-page,Direct Traffic,129,78,21,0.245,3.8,0.0513,4
2024-02-05,https://example.com/product-page,Display Ads,34,24,1,0.749,1.89,0.0064,0
2024-02-05,https://example.com/product-page,Email Marketing,101,69,33,0.241,6.7,0.0325,2
2024-02-05,https://example.com/product-page,Organic Search,488,373,83,0.34,4.52,0.0178,7
2024-02-05,https://example.com/product-page,Paid Search,260,166,13,0.339,2.49,0.0424,7
2024-02-05,https://example.com/product-page,Referral,68,45,5,0.395,3.01,0.029,1
2024-02-05,https://example.com/product-page,Social Media,212,127,14,0.58,1.78,0.0166,2
2024-02-05,https://example.com/product-page,Video Ads,25,17,0,0.477,7.65,0.0096,0
2024-02-06,https://example.com/product-page,Direct Traffic,83,58,26,0.329,5.62,0.0398,2
2024-02-06,https://example.com/product-page,Display Ads,20,12,1,0.777,1.43,0.009,0
2024-02-06,https://example.com/product-page,Email Marketing,55,34,15,0.261,5.69,0.0494,2
2024-02-06,https://example.com/product-page,Organic Search,315,237,37,0.324,3.04,0.0165,4
2024-02-06,https://example.com/product-page,Paid Search,175,122,17,0.41,2.69,0.0454,6
2024-02-06,https://example.com/product-page,Referral,45,31,3,0.484,3.45,0.0186,1
2024-02-06,https://example.com/product-page,Social Media,128,87,9,0.488,1.96,0.0078,1
2024-02-06,https://example.com/product-page,Video Ads,12,8,0,0.564,5.67,0.0125,0
2024-02-07,https://example.com/product-page,Direct Traffic,131,96,25,0.264,3.15,0.0521,5
2024-02-07,https://example.com/product-page,Display Ads,34,20,1,0.722,1.77,0.0068,0
2024-02-07,https://example.com/product-page,Email Marketing,98,67,20,0.247,6.41,0.066,4
2024-02-07,https://example.com/product-page,Organic Search,376,274,91,0.387,4.87,0.0149,4
2024-02-07,https://example.com/product-page,Paid Search,185,111,7,0.405,3.17,0.0493,5
2024-02-07,https://example.com/product-page,Referral,53,32,3,0.439,3.29,0.0123,0
2024-02-07,https://example.com/product-page,Social Media,183,141,30,0.498,1.81,0.0116,2
2024-02-07,https://example.com/product-page,Video Ads,18,12,0,0.589,8.06,0.0129,0
2024-02-08,https://example.com/product-page,Direct Traffic,187,114,45,0.35,4.74,0.0382,4
2024-02-08,https://example.com/product-page,Display Ads,45,33,2,0.752,1.66,0.0102,0
2024-02-08,https://example.com/product-page,Email Marketing,124,82,36,0.247,5.77,0.0502,4
2024-02-08,https://example.com/product-page,Organic Search,483,344,83,0.335,4.59,0.0273,9
2024-02-08,https://example.com/product-page,Paid Search,320,251,30,0.391,1.98,0.0565,14
2024-02-08,https://example.com/product-page,Referral,63,38,7,0.374,2.66,0.019,1
2024-02-08,https://example.com/product-page,Social Media,199,120,18,0.496,2.31,0.0109,1
2024-02-08,https://example.com/product-page,Video Ads,27,20,1,0.507,7.67,0.0079,0
2024-02-09,https://example.com/product-page,Direct Traffic,102,72,39,0.259,5.0,0.0315,2
2024-02-09,https://example.com/product-page,Display Ads,29,18,2,0.562,1.42,0.0097,0
2024-02-09,https://example.com/product-page,Email Marketing,85,64,25,0.242,4.77,0.0244,2
2024-02-09,https://example.com/product-page,Organic Search,369,241,65,0.342,4.34,0.0157,4
