date,url,marketing_segment,page_visits,unique_visitors,return_visitors
2024-01-05,https://example.com/product-page,Organic Search,381,259,81
2024-01-05,https://example.com/product-page,Paid Search,215,132,10
2024-01-05,https://example.com/product-page,Referral,67,52,6
2024-01-05,https://example.com/product-page,Social Media,157,123,32
2024-01-05,https://example.com/product-page,Video Ads,27,20,0
2024-01-06,https://example.com/product-page,Direct Traffic,82,65,38
2024-01-06,https://example.com/product-page,Display Ads,21,12,0
2024-01-06,https://example.com/product-page,Email Marketing,52,36,10
2024-01-06,https://example.com/product-page,Organic Search,254,173,31
2024-01-06,https://example.com/product-page,Paid Search,122,81,11
2024-01-06,https://example.com/product-page,Referral,33,20,3
2024-01-06,https://example.com/product-page,Social Media,100,70,16
2024-01-06,https://example.com/product-page,Video Ads,16,10,0
2024-01-07,https://example.com/product-page,Direct Traffic,77,59,19
2024-01-07,https://example.com/product-page,Display Ads,20,14,0
2024-01-07,https://example.com/product-page,Email Marketing,54,32,12
2024-01-07,https://example.com/product-page,Organic Search,242,177,55
2024-01-07,https://example.com/product-page,Paid Search,138,102,8
2024-01-07,https://example.com/product-page,Referral,41,24,3
2024-01-07,https://example.com/product-page,Social Media,122,88,18
2024-01-07,https://example.com/product-page,Video Ads,16,10,0
2024-01-08,https://example.com/product-page,Direct Traffic,126,81,19
2024-01-08,https://example.com/product-page,Display Ads,36,27,2
2024-01-08,https://example.com/product-page,Email Marketing,96,74,29
2024-01-08,https://example.com/product-page,Organic Search,310,207,31
2024-01-08,https://example.com/product-page,Paid Search,243,188,14
2024-01-08,https://example.com/product-page,Referral,48,32,5
2024-01-08,https://example.com/product-page,Social Media,165,125,26
2024-01-08,https://example.com/product-page,Video Ads,21,12,0
2024-01-09,https://example.com/product-page,Direct Traffic,142,91,30
2024-01-09,https://example.com/product-page,Display Ads,31,20,1
2024-01-09,https://example.com/product-page,Email Marketing,96,70,33
2024-01-09,https://example.com/product-page,Organic Search,307,190,55
2024-01-09,https://example.com/product-page,Paid Search,175,110,11
2024-01-09,https://example.com/product-page,Referral,58,41,3
2024-01-09,https://example.com/product-page,Social Media,176,128,18
2024-01-09,https://example.com/product-page,Video Ads,25,16,1
2024-01-10,https://example.com/product-page,Direct Traffic,156,99,57
2024-01-10,https://example.com/product-page,Display Ads,43,34,3
2024-01-10,https://example.com/product-page,Email Marketing,116,90,27
2024-01-10,https://example.com/product-page,Organic Search,452,343,85
2024-01-10,https://example.com/product-page,Paid Search,253,176,12
2024-01-10,https://example.com/product-page,Referral,49,38,5
2024-01-10,https://example.com/product-page,Social Media,200,131,13
2024-01-10,https://example.com/product-page,Video Ads,22,14,0
2024-01-11,https://example.com/product-page,Direct Traffic,118,88,42
2024-01-11,https://example.com/product-page,Display Ads,30,21,1
2024-01-11,https://example.com/product-page,Email Marketing,74,49,13
2024-01-11,https://example.com/product-page,Organic Search,307,241,72
2024-01-11,https://example.com/product-page,Paid Search,176,109,12
2024-01-11,https://example.com/product-page,Referral,48,36,7
2024-01-11,https://example.com/product-page,Social Media,154,96,19
2024-01-11,https://example.com/product-page,Video Ads,19,13,0
2024-01-12,https://example.com/product-page,Direct Traffic,104,74,15
2024-01-12,https://example.com/product-page,Display Ads,25,18,0
2024-01-12,https://example.com/product-page,Email Marketing,62,47,14
2024-01-12,https://example.com/product-page,Organic Search,372,289,60
2024-01-12,https://example.com/product-page,Paid Search,180,111,11
2024-01-12,https://example.com/product-page,Referral,40,28,5
2024-01-12,https://example.com/product-page,Social Media,116,80,16
2024-01-12,https://example.com/product-page,Video Ads,15,10,0
2024-01-13,https://example.com/product-page,Direct Traffic,129,95,34
2024-01-13,https://example.com/product-page,Display Ads,25,19,1
2024-01-13,https://example.com/product-page,Email Marketing,66,41,10
2024-01-13,https://example.com/product-page,Organic Search,395,277,56
2024-01-13,https://example.com/product-page,Paid Search,212,138,12
2024-01-13,https://example.com/product-page,Referral,48,35,6
2024-01-13,https://example.com/product-page,Social Media,118,71,20
2024-01-13,https://example.com/product-page,Video Ads,19,13,0
2024-01-14,https://example.com/product-page,Direct Traffic,103,63,24
2024-01-14,https://example.com/product-page,Display Ads,21,14,1
2024-01-14,https://example.com/product-page,Email Marketing,69,43,14
2024-01-14,https://example.com/product-page,Organic Search,275,184,57
2024-01-14,https://example.com/product-page,Paid Search,140,87,4
2024-01-14,https://example.com/product-page,Referral,41,29,4
2024-01-14,https://example.com/product-page,Social Media,107,82,19
2024-01-14,https://example.com/product-page,Video Ads,17,13,0
2024-01-15,https://example.com/product-page,Direct Traffic,146,114,31
2024-01-15,https://example.com/product-page,Display Ads,28,21,0
2024-01-15,https://example.com/product-page,Email Marketing,68,42,7
2024-01-15,https://example.com/product-page,Organic Search,373,293,78
2024-01-15,https://example.com/product-page,Paid Search,197,143,13
2024-01-15,https://example.com/product-page,Referral,43,31,2
2024-01-15,https://example.com/product-page,Social Media,157,123,21
2024-01-15,https://example.com/product-page,Video Ads,23,15,0
2024-01-16,https://example.com/product-page,Direct Traffic,157,107,37
2024-01-16,https://example.com/product-page,Display Ads,36,22,2
2024-01-16,https://example.com/product-page,Email Marketing,97,64,32
2024-01-16,https://example.com/product-page,Organic Search,413,299,102
2024-01-16,https://example.com/product-page,Paid Search,239,181,14
2024-01-16,https://example.com/product-page,Referral,62,42,7
2024-01-16,https://example.com/product-page,Social Media,142,106,27
2024-01-16,https://example.com/product-page,Video Ads,21,16,0
2024-01-17,https://example.com/product-page,Direct Traffic,113,75,35
2024-01-17,https://example.com/product-page,Display Ads,31,21,2
2024-01-17,https://example.com/product-page,Email Marketing,91,69,31
2024-01-17,https://example.com/product-page,Organic Search,291,227,33
2024-01-17,https://example.com/product-page,Paid Search,191,150,21
2024-01-17,https://example.com/product-page,Referral,43,30,2
2024-01-17,https://example.com/product-page,Social Media,159,115,21
2024-01-17,https://example.com/product-page,Video Ads,19,11,0
2024-01-18,https://example.com/product-page,Direct Traffic,127,101,35
2024-01-18,https://example.com/product-page,Display Ads,31,23,1
2024-01-18,https://example.com/product-page,Email Marketing,96,73,36
2024-01-18,https://example.com/product-page,Organic Search,493,356,53
2024-01-18,https://example.com/product-page,Paid Search,212,156,8
2024-01-18,https://example.com/product-page,Referral,76,57,7
2024-01-18,https://example.com/product-page,Social Media,216,160,18
2024-01-18,https://example.com/product-page,Video Ads,24,18,0
2024-01-19,https://example.com/product-page,Direct Traffic,113,87,25
2024-01-19,https://example.com/product-page,Display Ads,36,22,1
2024-01-19,https://example.com/product-page,Email Marketing,97,58,29
2024-01-19,https://example.com/product-page,Organic Search,355,216,33
2024-01-19,https://example.com/product-page,Paid Search,174,126,15
2024-01-19,https://example.com/product-page,Referral,42,32,4
2024-01-19,https://example.com/product-page,Social Media,159,125,21
2024-01-19,https://example.com/product-page,Video Ads,24,16,0
2024-01-20,https://example.com/product-page,Direct Traffic,90,65,20
2024-01-20,https://example.com/product-page,Display Ads,27,19,1
2024-01-20,https://example.com/product-page,Email Marketing,53,36,10
2024-01-20,https://example.com/product-page,Organic Search,290,200,56
2024-01-20,https://example.com/product-page,Paid Search,159,124,6
2024-01-20,https://example.com/product-page,Referral,39,24,5
2024-01-20,https://example.com/product-page,Social Media,105,82,22
2024-01-20,https://example.com/product-page,Video Ads,14,10,0
2024-01-21,https://example.com/product-page,Direct Traffic,110,74,43
2024-01-21,https://example.com/product-page,Display Ads,30,22,2
2024-01-21,https://example.com/product-page,Email Marketing,80,61,20
2024-01-21,https://example.com/product-page,Organic Search,300,235,80
2024-01-21,https://example.com/product-page,Paid Search,145,87,7
2024-01-21,https://example.com/product-page,Referral,42,27,2
2024-01-21,https://example.com/product-page,Social Media,149,118,15
2024-01-21,https://example.com/product-page,Video Ads,21,14,0
2024-01-22,https://example.com/product-page,Direct Traffic,180,120,29
2024-01-22,https://example.com/product-page,Display Ads,44,34,2
2024-01-22,https://example.com/product-page,Email Marketing,123,86,38
2024-01-22,https://example.com/product-page,Organic Search,593,456,85
2024-01-22,https://example.com/product-page,Paid Search,282,176,25
2024-01-22,https://example.com/product-page,Referral,72,55,8
2024-01-22,https://example.com/product-page,Social Media,225,145,33
2024-01-22,https://example.com/product-page,Video Ads,24,14,0
2024-01-23,https://example.com/product-page,Direct Traffic,174,131,46
2024-01-23,https://example.com/product-page,Display Ads,39,26,3
2024-01-23,https://example.com/product-page,Email Marketing,121,93,47
2024-01-23,https://example.com/product-page,Organic Search,448,281,36
2024-01-23,https://example.com/product-page,Paid Search,272,195,17
2024-01-23,https://example.com/product-page,Referral,62,48,7
2024-01-23,https://example.com/product-page,Social Media,211,164,27
2024-01-23,https://example.com/product-page,Video Ads,28,18,1
2024-01-24,https://example.com/product-page,Direct Traffic,183,127,59
2024-01-24,https://example.com/product-page,Display Ads,33,20,1
2024-01-24,https://example.com/product-page,Email Marketing,91,58,10
2024-01-24,https://example.com/product-page,Organic Search,413,254,39
2024-01-24,https://example.com/product-page,Paid Search,224,141,9
2024-01-24,https://example.com/product-page,Referral,57,37,3
2024-01-24,https://example.com/product-page,Social Media,208,132,22
2024-01-24,https://example.com/product-page,Video Ads,23,15,0
2024-01-25,https://example.com/product-page,Direct Traffic,115,73,25
2024-01-25,https://example.com/product-page,Display Ads,29,21,2
2024-01-25,https://example.com/product-page,Email Marketing,87,62,18
2024-01-25,https://example.com/product-page,Organic Search,431,312,45
2024-01-25,https://example.com/product-page,Paid Search,253,198,11
2024-01-25,https://example.com/product-page,Referral,54,40,3
2024-01-25,https://example.com/product-page,Social Media,150,114,28
2024-01-25,https://example.com/product-page,Video Ads,22,15,0
2024-01-26,https://example.com/product-page,Direct Traffic,115,89,38
2024-01-26,https://example.com/product-page,Display Ads,37,25,1
2024-01-26,https://example.com/product-page,Email Marketing,97,73,25
2024-01-26,https://example.com/product-page,Organic Search,390,275,51
2024-01-26,https://example.com/product-page,Paid Search,206,139,7
2024-01-26,https://example.com/product-page,Referral,47,33,5
2024-01-26,https://example.com/product-page,Social Media,158,101,16
2024-01-26,https://example.com/product-page,Video Ads,20,13,0
2024-01-27,https://example.com/product-page,Direct Traffic,51,39,9
2024-01-27,https://example.com/product-page,Display Ads,16,12,0
2024-01-27,https://example.com/product-page,Email Marketing,39,26,13
2024-01-27,https://example.com/product-page,Organic Search,204,147,27
2024-01-27,https://example.com/product-page,Paid Search,82,51,3
2024-01-27,https://example.com/product-page,Referral,20,13,2
2024-01-27,https://example.com/product-page,Social Media,63,40,6
2024-01-27,https://example.com/product-page,Video Ads,8,5,0
2024-01-28,https://example.com/product-page,Direct Traffic,96,69,21
2024-01-28,https://example.com/product-page,Display Ads,24,14,1
2024-01-28,https://example.com/product-page,Email Marketing,78,49,16
2024-01-28,https://example.com/product-page,Organic Search,338,241,46
2024-01-28,https://example.com/product-page,Paid Search,209,133,10
2024-01-28,https://example.com/product-page,Referral,47,28,3
2024-01-28,https://example.com/product-page,Social Media,137,96,14
2024-01-28,https://example.com/product-page,Video Ads,17,12,0
2024-01-29,https://example.com/product-page,Direct Traffic,196,124,28
2024-01-29,https://example.com/product-page,Display Ads,36,22,2
2024-01-29,https://example.com/product-page,Email Marketing,122,87,40
2024-01-29,https://example.com/product-page,Organic Search,507,352,80
2024-01-29,https://example.com/product-page,Paid Search,262,205,27
2024-01-29,https://example.com/product-page,Referral,59,44,4
2024-01-29,https://example.com/product-page,Social Media,248,154,37
2024-01-29,https://example.com/product-page,Video Ads,29,20,0
2024-01-30,https://example.com/product-page,Direct Traffic,141,109,38
2024-01-30,https://example.com/product-page,Display Ads,37,23,2
2024-01-30,https://example.com/product-page,Email Marketing,107,83,32
2024-01-30,https://example.com/product-page,Organic Search,533,361,118
2024-01-30,https://example.com/product-page,Paid Search,258,174,16
2024-01-30,https://example.com/product-page,Referral,56,44,7
2024-01-30,https://example.com/product-page,Social Media,182,136,27
2024-01-30,https://example.com/product-page,Video Ads,27,19,1
2024-01-31,https://example.com/product-page,Direct Traffic,105,80,20
2024-01-31,https://example.com/product-page,Display Ads,32,23,1
2024-01-31,https://example.com/product-page,Email Marketing,79,59,13
2024-01-31,https://example.com/product-page,Organic Search,336,218,67
2024-01-31,https://example.com/product-page,Paid Search,169,120,15
2024-01-31,https://example.com/product-page,Referral,46,34,6
2024-01-31,https://example.com/product-page,Social Media,179,119,31
2024-01-31,https://example.com/product-page,Video Ads,18,12,0
2024-02-01,https://example.com/product-page,Direct Traffic,121,93,53
2024-02-01,https://example.com/product-page,Display Ads,39,26,2
2024-02-01,https://example.com/product-page,Email Marketing,102,75,37
2024-02-01,https://example.com/product-page,Organic Search,508,364,81
2024-02-01,https://example.com/product-page,Paid Search,246,194,12
2024-02-01,https://example.com/product-page,Referral,67,42,6
2024-02-01,https://example.com/product-page,Social Media,193,135,30
2024-02-01,https://example.com/product-page,Video Ads,29,22,1
2024-02-02,https://example.com/product-page,Direct Traffic,197,131,64
2024-02-02,https://example.com/product-page,Display Ads,50,39,2
2024-02-02,https://example.com/product-page,Email Marketing,137,88,29
2024-02-02,https://example.com/product-page,Organic Search,588,359,74
2024-02-02,https://example.com/product-page,Paid Search,392,235,19
2024-02-02,https://example.com/product-page,Referral,74,47,7
2024-02-02,https://example.com/product-page,Social Media,251,177,50
2024-02-02,https://example.com/product-page,Video Ads,36,26,0
2024-02-03,https://example.com/product-page,Direct Traffic,89,66,18
2024-02-03,https://example.com/product-page,Display Ads,22,16,1
2024-02-03,https://example.com/product-page,Email Marketing,83,53,12
2024-02-03,https://example.com/product-page,Organic Search,335,212,77
2024-02-03,https://example.com/product-page,Paid Search,154,105,6
2024-02-03,https://example.com/product-page,Referral,36,24,3
2024-02-03,https://example.com/product-page,Social Media,162,113,24
2024-02-03,https://example.com/product-page,Video Ads,18,12,0
2024-02-04,https://example.com/product-page,Direct Traffic,81,59,12
2024-02-04,https://example.com/product-page,Display Ads,16,11,0
2024-02-04,https://example.com/product-page,Email Marketing,44,28,11
2024-02-04,https://example.com/product-page,Organic Search,191,147,53
2024-02-04,https://example.com/product-page,Paid Search,118,77,8
2024-02-04,https://example.com/product-page,Referral,25,15,2
2024-02-04,https://example.com/product-page,Social Media,90,54,7
2024-02-04,https://example.com/product-page,Video Ads,10,6,0
2024-02-05,https://example.com/product-page,Direct Traffic,129,78,21
2024-02-05,https://example.com/product-page,Display Ads,34,24,1
2024-02-05,https://example.com/product-page,Email Marketing,101,69,33
2024-02-05,https://example.com/product-page,Organic Search,488,373,83
2024-02-05,https://example.com/product-page,Paid Search,260,166,13
2024-02-05,https://example.com/product-page,Referral,68,45,5
2024-02-05,https://example.com/product-page,Social Media,212,127,14
2024-02-05,https://example.com/product-page,Video Ads,25,17,0
2024-02-06,https://example.com/product-page,Direct Traffic,83,58,26
2024-02-06,https://example.com/product-page,Display Ads,20,12,1
2024-02-06,https://example.com/product-page,Email Marketing,55,34,15
2024-02-06,https://example.com/product-page,Organic Search,315,237,37
2024-02-06,https://example.com/product-page,Paid Search,175,122,17
2024-02-06,https://example.com/product-page,Referral,45,31,3
2024-02-06,https://example.com/product-page,Social Media,128,87,9
2024-02-06,https://example.com/product-page,Video Ads,12,8,0
2024-02-07,https://example.com/product-page,Direct Traffic,131,96,25
2024-02-07,https://example.com/product-page,Display Ads,34,20,1
2024-02-07,https://example.com/product-page,Email Marketing,98,67,20
2024-02-07,https://example.com/product-page,Organic Search,376,274,91
2024-02-07,https://example.com/product-page,Paid Search,185,111,7
2024-02-07,https://example.com/product-page,Referral,53,32,3
2024-02-07,https://example.com/product-page,Social Media,183,141,30
2024-02-07,https://example.com/product-page,Video Ads,18,12,0
2024-02-08,https://example.com/product-page,Direct Traffic,187,114,45
2024-02-08,https://example.com/product-page,Display Ads,45,33,2
2024-02-08,https://example.com/product-page,Email Marketing,124,82,36
2024-02-08,https://example.com/product-page,Organic Search,483,344,83
2024-02-08,https://example.com/product-page,Paid Search,320,251,30
2024-02-08,https://example.com/product-page,Referral,63,38,7
2024-02-08,https://example.com/product-page,Social Media,199,120,18
2024-02-08,https://example.com/product-page,Video Ads,27,20,1
2024-02-09,https://example.com/product-page,Direct Traffic,102,72,39
2024-02-09,https://example.com/product-page,Display Ads,29,18,2
2024-02-09,https://example.com/product-page,Email Marketing,85,64,25
2024-02-09,https://example.com/product-page,Organic Search,369,241,65
2024-02-09,https://example.com/product-page,Paid Search,185,114,16
2024-02-09,https://example.com/product-page,Referral,52,40,4
2024-02-09,https://example.com/product-page,Social Media,125,98,18
2024-02-09,https://example.com/product-page,Video Ads,23,13,0
2024-02-10,https://example.com/product-page,Direct Traffic,108,82,17
2024-02-10,https://example.com/product-page,Display Ads,31,19,1
2024-02-10,https://example.com/product-page,Email Marketing,80,51,11
2024-02-10,https://example.com/product-page,Organic Search,277,204,40
2024-02-10,https://example.com/product-page,Paid Search,227,180,25
2024-02-10,https://example.com/product-page,Referral,40,29,3
2024-02-10,https://example.com/product-page,Social Media,144,111,29
2024-02-10,https://example.com/product-page,Video Ads,19,14,0
2024-02-11,https://example.com/product-page,Direct Traffic,121,91,54
2024-02-11,https://example.com/product-page,Display Ads,30,22,1
2024-02-11,https://example.com/product-page,Email Marketing,64,48,15
2024-02-11,https://example.com/product-page,Organic Search,316,245,68
2024-02-11,https://example.com/product-page,Paid Search,153,92,12
2024-02-11,https://example.com/product-page,Referral,42,30,6
2024-02-11,https://example.com/product-page,Social Media,104,80,16
2024-02-11,https://example.com/product-page,Video Ads,16,11,0
2024-02-12,https://example.com/product-page,Direct Traffic,120,94,48
2024-02-12,https://example.com/product-page,Display Ads,29,23,1
2024-02-12,https://example.com/product-page,Email Marketing,75,51,24
2024-02-12,https://example.com/product-page,Organic Search,361,237,43
2024-02-12,https://example.com/product-page,Paid Search,184,111,16
2024-02-12,https://example.com/product-page,Referral,66,45,7
2024-02-12,https://example.com/product-page,Social Media,164,111,26
2024-02-12,https://example.com/product-page,Video Ads,26,18,0
2024-02-13,https://example.com/product-page,Direct Traffic,139,109,65
2024-02-13,https://example.com/product-page,Display Ads,26,16,1
2024-02-13,https://example.com/product-page,Email Marketing,70,47,20
2024-02-13,https://example.com/product-page,Organic Search,355,229,38
2024-02-13,https://example.com/product-page,Paid Search,179,114,14
2024-02-13,https://example.com/product-page,Referral,54,34,6
2024-02-13,https://example.com/product-page,Social Media,142,86,25
2024-02-13,https://example.com/product-page,Video Ads,20,14,0
2024-02-14,https://example.com/product-page,Direct Traffic,127,82,40
2024-02-14,https://example.com/product-page,Display Ads,33,22,1
2024-02-14,https://example.com/product-page,Email Marketing,89,54,13
2024-02-14,https://example.com/product-page,Organic Search,334,259,94
2024-02-14,https://example.com/product-page,Paid Search,256,195,22
2024-02-14,https://example.com/product-page,Referral,60,36,7
2024-02-14,https://example.com/product-page,Social Media,171,105,19
2024-02-14,https://example.com/product-page,Video Ads,25,16,0
2024-02-15,https://example.com/product-page,Direct Traffic,175,128,57
2024-02-15,https://example.com/product-page,Display Ads,34,22,2
2024-02-15,https://example.com/product-page,Email Marketing,119,75,36
2024-02-15,https://example.com/product-page,Organic Search,486,317,109
2024-02-15,https://example.com/product-page,Paid Search,303,221,29
2024-02-15,https://example.com/product-page,Referral,77,46,9
2024-02-15,https://example.com/product-page,Social Media,233,172,45
2024-02-15,https://example.com/product-page,Video Ads,23,17,1
2024-02-16,https://example.com/product-page,Direct Traffic,153,108,63
2024-02-16,https://example.com/product-page,Display Ads,28,18,1
2024-02-16,https://example.com/product-page,Email Marketing,87,63,31
2024-02-16,https://example.com/product-page,Organic Search,372,269,99
2024-02-16,https://example.com/product-page,Paid Search,244,159,18
2024-02-16,https://example.com/product-page,Referral,48,37,6
2024-02-16,https://example.com/product-page,Social Media,177,133,16
2024-02-16,https://example.com/product-page,Video Ads,19,13,0
2024-02-17,https://example.com/product-page,Direct Traffic,82,54,21
2024-02-17,https://example.com/product-page,Display Ads,25,15,1
2024-02-17,https://example.com/product-page,Email Marketing,75,55,18
2024-02-17,https://example.com/product-page,Organic Search,313,190,65
2024-02-17,https://example.com/product-page,Paid Search,203,161,20
2024-02-17,https://example.com/product-page,Referral,38,30,4
2024-02-17,https://example.com/product-page,Social Media,109,81,8
2024-02-17,https://example.com/product-page,Video Ads,18,11,0
2024-02-18,https://example.com/product-page,Direct Traffic,150,102,56
2024-02-18,https://example.com/product-page,Display Ads,31,24,1
2024-02-18,https://example.com/product-page,Email Marketing,74,47,8
2024-02-18,https://example.com/product-page,Organic Search,333,263,42
2024-02-18,https://example.com/product-page,Paid Search,204,160,14
2024-02-18,https://example.com/product-page,Referral,55,37,7
2024-02-18,https://example.com/product-page,Social Media,166,112,17
2024-02-18,https://example.com/product-page,Video Ads,24,18,1
2024-02-19,https://example.com/product-page,Direct Traffic,157,98,46
2024-02-19,https://example.com/product-page,Display Ads,52,34,2
2024-02-19,https://example.com/product-page,Email Marketing,120,76,26
2024-02-19,https://example.com/product-page,Organic Search,616,463,130
2024-02-19,https://example.com/product-page,Paid Search,264,160,22
2024-02-19,https://example.com/product-page,Referral,63,45,5
2024-02-19,https://example.com/product-page,Social Media,243,184,36
2024-02-19,https://example.com/product-page,Video Ads,24,14,0
2024-02-20,https://example.com/product-page,Direct Traffic,189,132,59
2024-02-20,https://example.com/product-page,Display Ads,51,30,1
2024-02-20,https://example.com/product-page,Email Marketing,159,113,20
2024-02-20,https://example.com/product-page,Organic Search,590,436,148
2024-02-20,https://example.com/product-page,Paid Search,408,248,24
2024-02-20,https://example.com/product-page,Referral,85,59,5
2024-02-20,https://example.com/product-page,Social Media,232,150,44
2024-02-20,https://example.com/product-page,Video Ads,35,21,1
2024-02-21,https://example.com/product-page,Direct Traffic,109,77,37
2024-02-21,https://example.com/product-page,Display Ads,38,26,2
2024-02-21,https://example.com/product-page,Email Marketing,102,75,34
2024-02-21,https://example.com/product-page,Organic Search,418,317,55
2024-02-21,https://example.com/product-page,Paid Search,192,119,13
2024-02-21,https://example.com/product-page,Referral,51,38,3
2024-02-21,https://example.com/product-page,Social Media,180,109,31
2024-02-21,https://example.com/product-page,Video Ads,21,15,0
2024-02-22,https://example.com/product-page,Direct Traffic,146,102,43
2024-02-22,https://example.com/product-page,Display Ads,36,22,0
2024-02-22,https://example.com/product-page,Email Marketing,99,63,32
2024-02-22,https://example.com/product-page,Organic Search,330,214,35
2024-02-22,https://example.com/product-page,Paid Search,263,169,24
2024-02-22,https://example.com/product-page,Referral,68,49,5
2024-02-22,https://example.com/product-page,Social Media,160,101,26
2024-02-22,https://example.com/product-page,Video Ads,20,13,0
2024-02-23,https://example.com/product-page,Direct Traffic,151,112,44
2024-02-23,https://example.com/product-page,Display Ads,34,24,2
2024-02-23,https://example.com/product-page,Email Marketing,118,92,29
2024-02-23,https://example.com/product-page,Organic Search,492,368,85
2024-02-23,https://example.com/product-page,Paid Search,242,163,24
2024-02-23,https://example.com/product-page,Referral,58,41,8
2024-02-23,https://example.com/product-page,Social Media,158,122,26
2024-02-23,https://example.com/product-page,Video Ads,28,17,1
2024-02-24,https://example.com/product-page,Direct Traffic,131,85,39
2024-02-24,https://example.com/product-page,Display Ads,23,14,1
2024-02-24,https://example.com/product-page,Email Marketing,68,51,11
2024-02-24,https://example.com/product-page,Organic Search,323,209,71
2024-02-24,https://example.com/product-page,Paid Search,181,127,10
2024-02-24,https://example.com/product-page,Referral,55,37,4
2024-02-24,https://example.com/product-page,Social Media,144,91,16
2024-02-24,https://example.com/product-page,Video Ads,17,13,0
2024-02-25,https://example.com/product-page,Direct Traffic,112,85,36
2024-02-25,https://example.com/product-page,Display Ads,28,17,0
2024-02-25,https://example.com/product-page,Email Marketing,75,48,10
2024-02-25,https://example.com/product-page,Organic Search,258,186,56
2024-02-25,https://example.com/product-page,Paid Search,142,89,4
2024-02-25,https://example.com/product-page,Referral,37,22,3
2024-02-25,https://example.com/product-page,Social Media,134,98,19
2024-02-25,https://example.com/product-page,Video Ads,16,12,0
2024-02-26,https://example.com/product-page,Direct Traffic,131,96,24
2024-02-26,https://example.com/product-page,Display Ads,27,19,1
2024-02-26,https://example.com/product-page,Email Marketing,71,46,19
2024-02-26,https://example.com/product-page,Organic Search,331,263,96
2024-02-26,https://example.com/product-page,Paid Search,176,139,15
2024-02-26,https://example.com/product-page,Referral,48,35,7
2024-02-26,https://example.com/product-page,Social Media,189,130,26
2024-02-26,https://example.com/product-page,Video Ads,25,15,0
2024-02-27,https://example.com/product-page,Direct Traffic,161,118,33
2024-02-27,https://example.com/product-page,Display Ads,30,23,1
2024-02-27,https://example.com/product-page,Email Marketing,106,71,28
2024-02-27,https://example.com/product-page,Organic Search,498,392,115
2024-02-27,https://example.com/product-page,Paid Search,250,180,24
2024-02-27,https://example.com/product-page,Referral,52,38,8
2024-02-27,https://example.com/product-page,Social Media,193,116,33
2024-02-27,https://example.com/product-page,Video Ads,28,21,1
2024-02-28,https://example.com/product-page,Direct Traffic,170,102,33
2024-02-28,https://example.com/product-page,Display Ads,39,25,1
2024-02-28,https://example.com/product-page,Email Marketing,105,71,29
2024-02-28,https://example.com/product-page,Organic Search,469,312,91
2024-02-28,https://example.com/product-page,Paid Search,313,235,30
2024-02-28,https://example.com/product-page,Referral,66,45,4
2024-02-28,https://example.com/product-page,Social Media,204,155,19
2024-02-28,https://example.com/product-page,Video Ads,29,21,1
2024-02-29,https://example.com/product-page,Direct Traffic,166,117,51
2024-02-29,https://example.com/product-page,Display Ads,32,23,2
2024-02-29,https://example.com/product-page,Email Marketing,119,90,38
2024-02-29,https://example.com/product-page,Organic Search,464,313,106
2024-02-29,https://example.com/product-page,Paid Search,271,188,9
2024-02-29,https://example.com/product-page,Referral,79,47,4
2024-02-29,https://example.com/product-page,Social Media,189,127,22
2024-02-29,https://example.com/product-page,Video Ads,24,18,0
